,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,san andres,12.58,-81.7,86.0,79,40,11.41,CO,1590628750
330,angul,20.85,85.1,84.13,69,0,3.44,IN,1590628750
331,izmalkovo,52.69,37.96,47.68,93,0,4.83,RU,1590628751
332,bairnsdale,-37.83,147.62,60.21,63,1,3.02,AU,1590628751
333,smithers,54.78,-127.17,64.4,23,75,2.28,CA,1590628751
334,loikaw,19.67,97.21,78.15,69,0,1.48,MM,1590628751
335,castro alves,-12.77,-39.43,72.09,96,100,5.08,BR,1590628752
336,vao,-22.67,167.48,73.47,80,94,13.87,NC,1590628752
337,sakaiminato,35.55,133.23,69.8,56,40,4.7,JP,1590628752
338,moindou,-21.69,165.68,82.4,61,100,6.93,NC,1590628752
339,peniche,39.36,-9.38,66.99,82,0,11.5,PT,1590628752
340,shelburne,44.08,-80.2,75.2,50,1,8.05,CA,1590628753
341,yarim,14.3,44.38,58.96,55,43,5.66,YE,1590628753
342,soure,-0.72,-48.52,80.65,83,100,9.82,BR,1590628753
343,shimanovsk,52.0,127.7,77.56,28,0,10.4,RU,1590628753
344,fort abbas,29.19,72.85,90.03,16,0,9.89,PK,1590628753
345,mabaruma,8.2,-59.78,77.23,82,100,4.18,GY,1590628753
346,hobyo,5.35,48.53,82.15,79,100,21.99,SO,1590628754
347,ust-maya,60.42,134.53,72.16,45,100,9.64,RU,1590628754
348,rovaniemi,66.5,25.72,42.8,70,28,8.05,FI,1590628579
349,murgab,37.5,61.97,78.8,34,0,11.41,TM,1590628754
350,la libertad,-2.23,-80.9,71.96,84,15,7.2,EC,1590628754
351,bismarck,46.81,-100.78,73.4,33,20,10.29,US,1590628503
352,robertsport,6.75,-11.37,80.73,81,100,4.07,LR,1590628755
353,pevek,69.7,170.31,38.7,74,23,16.87,RU,1590628755
354,martapura,-3.42,114.85,80.96,85,100,1.32,ID,1590628755
355,burgeo,47.62,-57.62,51.73,94,100,6.29,CA,1590628755
356,turan,16.07,108.22,80.6,83,40,2.26,VN,1590628756
357,padang,-0.95,100.35,82.09,70,99,3.04,ID,1590628756
358,alta floresta,-9.88,-56.09,72.36,83,39,1.68,BR,1590628756
359,sarakhs,36.54,61.16,78.8,44,0,9.17,IR,1590628756
360,kuminskiy,58.67,66.57,56.46,71,72,10.8,RU,1590628756
361,ponta delgada,37.73,-25.67,60.8,82,40,13.87,PT,1590628757
362,ghatanji,20.13,78.32,87.31,30,0,5.79,IN,1590628757
363,acajutla,13.59,-89.83,75.0,96,100,0.36,SV,1590628757
364,bani walid,31.76,13.99,60.69,84,0,5.59,LY,1590628757
365,pimentel,-6.84,-79.93,67.39,88,76,10.63,PE,1590628757
366,srednekolymsk,67.45,153.68,59.23,31,0,18.7,RU,1590628758
367,inhambane,-23.86,35.38,64.47,75,51,8.88,MZ,1590628758
368,camana,-16.62,-72.71,65.61,76,0,4.63,PE,1590628758
369,evensk,61.95,159.23,43.92,61,99,6.69,RU,1590628758
